epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
82,1157.93,0.91123,0.55036,1.10456,0.03282,0.96909,0.93816,0.9858,0.75422,0.90111,0.52268,1.12092,0.02114,0.000832349,0.000832349,0.000832349
83,1172.03,0.94617,0.55523,1.13287,0.03591,0.9691,0.93838,0.98627,0.75113,0.90434,0.52354,1.1324,0.01884,0.000828443,0.000828443,0.000828443
84,1186.81,0.93684,0.55877,1.11934,0.0405,0.96641,0.94514,0.98505,0.77199,0.95777,0.53454,1.17275,0.01817,0.000824502,0.000824502,0.000824502
85,1201.12,0.9269,0.55725,1.10091,0.03523,0.96914,0.93982,0.9839,0.72316,0.91277,0.54568,1.14985,0.02005,0.000820525,0.000820525,0.000820525
86,1215.03,0.90179,0.55196,1.10649,0.03652,0.95142,0.95511,0.98658,0.75653,0.89015,0.52413,1.1246,0.02093,0.000816514,0.000816514,0.000816514
87,1229.19,0.91257,0.56368,1.09747,0.03345,0.95949,0.9451,0.98586,0.75525,0.89865,0.52377,1.13168,0.01957,0.000812468,0.000812468,0.000812468
88,1243.34,0.88424,0.55695,1.12483,0.03497,0.96375,0.95012,0.9853,0.76564,0.9597,0.54173,1.17165,0.01995,0.000808389,0.000808389,0.000808389
89,1257.63,0.92909,0.55482,1.12221,0.03936,0.96673,0.94208,0.98444,0.74461,0.93109,0.53175,1.15379,0.01989,0.000804277,0.000804277,0.000804277
90,1271.95,0.94174,0.57194,1.08967,0.03925,0.95461,0.9601,0.98337,0.77858,0.83705,0.50409,1.0886,0.01851,0.000800131,0.000800131,0.000800131
91,1285.97,0.94145,0.554,1.1031,0.04006,0.95282,0.95692,0.98059,0.77421,0.84885,0.5084,1.09413,0.01937,0.000795954,0.000795954,0.000795954
92,1300.41,0.91195,0.54988,1.11309,0.03768,0.9499,0.95761,0.98499,0.75598,0.9032,0.51574,1.13507,0.02031,0.000791744,0.000791744,0.000791744
93,1314.14,0.9024,0.54556,1.16637,0.03347,0.94867,0.95761,0.98444,0.76901,0.95982,0.533,1.17721,0.02113,0.000787503,0.000787503,0.000787503
94,1328.23,0.92411,0.54913,1.12603,0.03686,0.94911,0.95761,0.9816,0.75012,0.92427,0.51934,1.15095,0.0197,0.000783231,0.000783231,0.000783231
95,1342.54,0.93538,0.55196,1.11167,0.04195,0.95194,0.95511,0.98244,0.76527,0.88294,0.50567,1.1177,0.01845,0.000778929,0.000778929,0.000778929
96,1356.85,0.93033,0.55593,1.15819,0.04162,0.94337,0.95555,0.98236,0.75952,0.89055,0.51172,1.12718,0.01832,0.000774596,0.000774596,0.000774596
97,1370.64,0.93852,0.55834,1.13652,0.0367,0.96907,0.93753,0.98043,0.70935,0.91938,0.54432,1.13186,0.0212,0.000770234,0.000770234,0.000770234
98,1384.85,0.91428,0.55723,1.121,0.03482,0.96159,0.93638,0.98346,0.72262,0.96201,0.56052,1.16606,0.02385,0.000765843,0.000765843,0.000765843
99,1398.98,0.8637,0.51897,1.08639,0.03138,0.93838,0.9601,0.98682,0.73703,0.9435,0.521,1.17295,0.02213,0.000761423,0.000761423,0.000761423
100,1412.87,0.93072,0.54482,1.11622,0.04182,0.94009,0.96259,0.98686,0.76752,0.86927,0.50021,1.11258,0.0192,0.000756976,0.000756976,0.000756976
101,1427.05,0.90411,0.53423,1.12366,0.03379,0.94091,0.96509,0.98248,0.76214,0.88351,0.5053,1.1218,0.01836,0.0007525,0.0007525,0.0007525
102,1441.32,0.92521,0.55377,1.14062,0.03276,0.94364,0.95511,0.9852,0.72272,0.93394,0.56832,1.14651,0.02049,0.000747997,0.000747997,0.000747997
103,1455.78,0.87248,0.53534,1.08416,0.03062,0.9439,0.96497,0.98213,0.72052,0.92271,0.53502,1.16087,0.01814,0.000743468,0.000743468,0.000743468
104,1470.03,0.91225,0.53026,1.1145,0.03585,0.94802,0.96509,0.98481,0.73275,0.93585,0.52258,1.19461,0.01886,0.000738913,0.000738913,0.000738913
105,1484.1,0.94458,0.55211,1.18006,0.03937,0.95319,0.96473,0.98541,0.72532,0.94617,0.54265,1.19025,0.02168,0.000734332,0.000734332,0.000734332
106,1498.22,0.88841,0.51777,1.13573,0.03044,0.9519,0.9601,0.98547,0.72383,0.95444,0.53686,1.19204,0.02275,0.000729725,0.000729725,0.000729725
107,1512.71,0.86713,0.51089,1.1151,0.03321,0.9487,0.96259,0.98615,0.75215,0.92886,0.51017,1.15421,0.02101,0.000725094,0.000725094,0.000725094
108,1526.4,0.93464,0.53893,1.09461,0.03721,0.95305,0.9617,0.9865,0.75764,0.91714,0.50626,1.13837,0.02101,0.000720439,0.000720439,0.000720439
109,1540.58,0.88805,0.52471,1.07873,0.03164,0.95342,0.95761,0.9866,0.72247,0.95018,0.52713,1.17724,0.02222,0.000715761,0.000715761,0.000715761
110,1554.63,0.89394,0.52313,1.1252,0.03779,0.94297,0.95761,0.98576,0.72618,0.96002,0.53843,1.18203,0.02168,0.000711059,0.000711059,0.000711059
111,1568.7,0.85538,0.51385,1.09721,0.02869,0.94341,0.9601,0.98518,0.71893,0.93914,0.53053,1.15021,0.02154,0.000706335,0.000706335,0.000706335
112,1582.8,0.88748,0.51528,1.12205,0.03398,0.94364,0.9604,0.98486,0.74284,0.94735,0.51196,1.1603,0.02103,0.000701588,0.000701588,0.000701588
113,1597.21,0.87011,0.50773,1.07293,0.03273,0.94839,0.96237,0.98485,0.73421,0.98774,0.51983,1.19977,0.02143,0.00069682,0.00069682,0.00069682
114,1611.2,0.88005,0.51281,1.08876,0.03115,0.95064,0.96062,0.98497,0.73753,0.98448,0.54665,1.19953,0.02181,0.000692031,0.000692031,0.000692031
115,1625.4,0.85821,0.51464,1.08228,0.03491,0.94672,0.95761,0.98374,0.7227,0.97287,0.54911,1.18551,0.02145,0.000687222,0.000687222,0.000687222
116,1639.28,0.86098,0.50921,1.09333,0.03593,0.94917,0.95262,0.98518,0.7181,0.99066,0.54861,1.20571,0.02156,0.000682392,0.000682392,0.000682392
